"","_date_collected","_hash_key","_owner_id","_process_id","_provider_name","_record_id","_transfer_id","bred_gap","bred_reason","bred_result","breeding_code","days_in_milk","event_date","event_time_local","event_time_utc","from_pen_id","remark","result","src_event_id","src_protocol","src_tag_id","src_technician_id","src_descr","technician_name","to_pen_id"
"1901","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d2","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",18,"2023-08-16",NA,NA,NA,"ABORTED",NA,"SOLD",NA,11220,NA,NA,NA,NA
"1902","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d3","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-07-31",NA,NA,NA,NA,NA,"FRESH",NA,11221,NA,NA,NA,NA
"1903","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d4","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-08-03",NA,NA,NA,"FR",NA,"FLAG",NA,11221,NA,NA,NA,NA
"1904","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d5","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",18,"2023-08-18",NA,NA,NA,"F004T002",NA,"MOVE",NA,11221,NA,NA,NA,NA
"1905","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d6","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",24,"2023-08-24",NA,NA,NA,"MLV",NA,"VACC",NA,11221,NA,NA,NA,NA
"1906","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d7","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",32,"2023-09-01",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11221,NA,NA,NA,NA
"1907","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d8","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",277,"2023-08-28",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11222,NA,NA,NA,NA
"1908","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73d9","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",371,"2023-08-04",NA,NA,NA,"F008T009",NA,"MOVE",NA,11224,NA,NA,NA,NA
"1909","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73da","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-08-21",NA,NA,NA,NA,NA,"FRESH",NA,11225,NA,NA,NA,NA
"1910","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73db","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-08-24",NA,NA,NA,"FR",NA,"FLAG",NA,11225,NA,NA,NA,NA
"1911","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73dc","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",18,"2023-09-08",NA,NA,NA,"F004T009",NA,"MOVE",NA,11225,NA,NA,NA,NA
"1912","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73dd","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",31,"2023-08-17",NA,NA,NA,"MLV",NA,"VACC",NA,11226,NA,NA,NA,NA
"1913","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73de","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",39,"2023-08-25",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11226,NA,NA,NA,NA
"1914","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73df","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-07-29",NA,NA,NA,"FR",NA,"FLAG",NA,11227,NA,NA,NA,NA
"1915","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e0","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",16,"2023-08-11",NA,NA,NA,"F004T009",NA,"MOVE",NA,11227,NA,NA,NA,NA
"1916","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e1","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",29,"2023-08-24",NA,NA,NA,"MLV",NA,"VACC",NA,11227,NA,NA,NA,NA
"1917","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73e2","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",37,"2023-09-01",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11227,NA,NA,NA,NA
