"_provider_name","_owner_id","_transfer_id","_date_collected","_record_id","_process_id","stage_name","src_tag_id","birth_date","birth_weight","breed","sex","dam_breed","dam_id","dam_ear_tag_id","dam_registration_num","ear_tag_id","registration_num","sire_id","sire_registration_num","today_date","barn_name","control_num","enroll_date","perm_string_pen","source_farm","305_day_mature_herd_equiv","abortion_date","abortion_determination_date","calf_sex_last_sire","beef_withdrawal_date","bullpen_entry_date","condition","conception_date","calf_livability","dry_date","src_days_dry","src_days_in_milk","src_days_open","due_to_freshen","calving_ease","embryo_transfer_dam","fresh_date","heat_date","hospital_date","heat_interval","first_to_grower_date","lactation_num","last_treatment_date","last_service_sire","mature_equivalent_factor","current_test_day_milk","milk_withdrawal_date","pregnant_open_date","recheck_date","reproduction","first_sire_preference","second_sire_preference","third_sire_preference","forth_sire_preference","sire_of_conception","sample_status","ovsynch_enrollment_date","times_bred","test_date","twin_code","vet_code","vet_check_date","reason_vet_check","weight_grower","src_pen_id","COMP#","BREED","DAMID","DMTAG","LMSV","LMSFD","TDAT","MILK","WMK1","TWIN","XLAME","LXLAM"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565d","6502af98120a46269f2be432","Voluntary Waiting Period",421,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6964",NA,NA,"840003136877210","2023-09-14","421R",NA,"2021-06-07",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,61,60,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,133,65,0,"0000-00-00","0000-00-00","FRESH","629H19973","629H20538",NA,NA,NA,"0002","2023-08-15",0,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000001638","41LDD9040","0034","09/13/23","08/29/23","000065",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565e","6502af98120a46269f2be432","Breeding",431,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6965","145388575",NA,NA,"2023-09-14","431R",NA,"2021-06-10",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,101,100,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H19773",131,82,0,"0000-00-00","0000-00-00","BRED","629H19773","629H20544",NA,NA,NA,"0002","2023-07-11",1,"2023-08-29",NA,"000","2023-08-15",NA,NA,NA,"000000","H","0000001716","144883415","0084","09/13/23","08/29/23","000082",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565f","6502af98120a46269f2be432","Breeding",441,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6968","145388584",NA,"840003132117251","2023-09-14","441R",NA,"2021-06-18",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,99,98,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","829XB116",131,86,0,"0000-00-00","0000-00-00","BRED","BEEF",NA,NA,NA,NA,"0002","2023-07-11",1,"2023-08-29",NA,"000","2023-08-15",NA,NA,NA,"000000","H","0000001007","143752103","0027","09/13/23","08/29/23","000086",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085660","6502af98120a46269f2be432","Breeding",461,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6973","145388605",NA,"840003128557482","2023-09-14","461P",NA,"2021-07-06",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,71,70,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,135,73,0,"0000-00-00","0000-00-00","BRED","629H20538","629H20761",NA,NA,NA,"0002","2023-08-08",0,"2023-08-29",NA,"000","2023-09-12",NA,NA,NA,"000000","H","0000001572","143268978","0030","09/13/23","08/29/23","000073",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085661","6502af98120a46269f2be432","Breeding",471,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6974","145388614",NA,NA,"2023-09-14","471P",NA,"2021-07-07",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,79,78,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H20544",131,89,0,"0000-00-00","0000-00-00","BRED","629H20544","629H20538",NA,NA,NA,"0002","2023-08-01",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000001713","144883394","0029","09/13/23","08/29/23","000089",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085662","6502af98120a46269f2be432","Breeding",481,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6975","145388623",NA,"840003137164039","2023-09-14","481P",NA,"2021-07-08",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,74,73,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H19973",135,91,0,"0000-00-00","0000-00-00","BRED","BEEF",NA,NA,NA,NA,"0002","2023-08-01",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000001648","144659364","0051","09/13/23","08/29/23","000091",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085663","6502af98120a46269f2be432","Voluntary Waiting Period",491,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6980",NA,NA,"840003146638492","2023-09-14","491",NA,"2021-08-11",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,28,27,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,134,71,0,"0000-00-00","0000-00-00","FRESH","629H19773","629H20544",NA,NA,NA,"0002","0000-00-00",0,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000001720","41LEJ6806","0000","00000000","08/29/23","000071",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085664","6502af98120a46269f2be432","Voluntary Waiting Period",501,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6981",NA,NA,"840003146638492","2023-09-14","501",NA,"2021-08-20",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,28,27,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,134,54,0,"0000-00-00","0000-00-00","FRESH","629H19773","629H20836",NA,NA,NA,"0002","0000-00-00",0,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000001718","41LEJ6804","0045","09/13/23","08/29/23","000054",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085665","6502af98120a46269f2be432","Pregnant",730,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6848","144984611",NA,"840003136877210","2023-09-14","730PR",NA,"2020-02-20",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-28",NA,"0000-00-00",66,180,131,"2024-05-03",NA,NA,"0000-00-00","0000-00-00","0000-00-00",43,"0000-00-00",2,"0000-00-00","629H20544",110,82,0,"0000-00-00","0000-00-00","PREG","629H20544","629H20816",NA,NA,"629H20544","0001","0000-00-00",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000001019","144106914","0029","09/13/23","08/29/23","000082",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085666","6502af98120a46269f2be432","Breeding",800,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6865","145079620",NA,NA,"2023-09-14","800P",NA,"2020-04-29",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",56,149,148,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",31,"0000-00-00",2,"0000-00-00","629H19773",112,90,0,"0000-00-00","0000-00-00","BRED","629H19773","629H20544",NA,NA,NA,"0001","2023-07-18",2,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000001662","144659159","0029","09/13/23","08/29/23","000090",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085667","6502af98120a46269f2be432","Breeding",1041,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6951",NA,NA,NA,"2023-09-14","1041P",NA,"2021-04-29",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,79,78,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H20544",128,85,0,"0000-00-00","0000-00-00","BRED","629H19773","629H20544",NA,NA,NA,"0002","2023-08-01",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000008049","3205435855","0045","09/13/23","08/29/23","000085",NA,"E","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085668","6502af98120a46269f2be432","Pregnant",1061,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6953",NA,NA,NA,"2023-09-14","1061PR",NA,"2021-05-02",1,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-28",NA,"0000-00-00",0,119,70,"2024-05-03",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","829XB69",128,75,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"829XB69","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000008038","73963082","0023","09/13/23","08/29/23","000075",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085669","6502af98120a46269f2be432","Voluntary Waiting Period",1101,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6961",NA,NA,"840003131083927","2023-09-14","1101",NA,"2021-06-01",1,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,56,55,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,132,75,0,"0000-00-00","0000-00-00","FRESH","629H19973","629H20538",NA,NA,NA,"0002","2023-08-22",0,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000000000","124000013201692","0031","09/13/23","08/29/23","000075",NA,"E","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566a","6502af98120a46269f2be432","Breeding",1111,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6962",NA,NA,"840003141494131","2023-09-14","1111",NA,"2021-06-03",1,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,111,110,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H19773",128,74,0,"0000-00-00","0000-00-00","BRED","629H20816","629H20544",NA,NA,NA,"0002","2023-07-11",1,"2023-08-29",NA,"000","2023-08-15",NA,NA,NA,"000000","H","0000001657","144773473","0030","09/13/23","08/29/23","000074",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566b","6502af98120a46269f2be432","Breeding",1121,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6963",NA,NA,NA,"2023-09-14","1121",NA,"2021-06-06",1,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,124,123,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H19773",130,93,0,"0000-00-00","0000-00-00","BRED","629H19773","629H20544",NA,NA,NA,"0002","2023-08-08",1,"2023-08-29",NA,"000","2023-09-12",NA,NA,NA,"000000","H","0000001677","144881020","0050","09/13/23","08/29/23","000093",NA,"E","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566c","6502af98120a46269f2be432","Breeding",1191,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6977",NA,NA,"840003207410295","2023-09-14","1191P",NA,"2021-07-24",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,69,68,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,137,74,0,"0000-00-00","0000-00-00","BRED","BEEF",NA,NA,NA,NA,"0002","2023-08-08",0,"2023-08-29",NA,"000","2023-09-12",NA,NA,NA,"000000","H","0000008050","3205436109","0019","09/13/23","08/29/23","000074",NA,"E","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566d","6502af98120a46269f2be432","Pregnant",1339,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"840003149478340","840003149478340",NA,NA,"2023-09-14","1339",NA,"2023-01-05",0,NA,NA,"2023-05-16","2023-05-16",NA,"0000-00-00","0000-00-00",NA,"2023-06-02",NA,"0000-00-00",51,284,179,"2024-03-08",NA,NA,"0000-00-00","0000-00-00","0000-00-00",90,"0000-00-00",2,"0000-00-00","829XB116",103,89,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"829XB116","0001","0000-00-00",2,"2023-08-29",NA,"000","2023-08-15",NA,NA,NA,"001339","H","0000001233","840003135299664","0017","09/13/23","08/29/23","000089",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566e","6502af98120a46269f2be432","Pregnant",1343,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"840003149478344","840003149478344",NA,"840003124720407","2023-09-14","1343",NA,"2023-03-06",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-05-19",NA,"0000-00-00",88,191,72,"2024-02-23",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",2,"0000-00-00","829XB116",104,89,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"829XB116","0001","0000-00-00",1,"2023-08-29",NA,"000","2023-08-01",NA,NA,NA,"001343","H","0000001235","840003135299666","0023","09/13/23","08/29/23","000089",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008566f","6502af98120a46269f2be432","Pregnant",1354,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"840003149478355","840003149478355",NA,NA,"2023-09-14","1354",NA,"2023-03-06",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-05-22",NA,"0000-00-00",79,266,150,"2024-02-26",NA,NA,"0000-00-00","0000-00-00","0000-00-00",24,"0000-00-00",2,"0000-00-00","829XB69",105,69,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"829XB69","0001","0000-00-00",3,"2023-08-29",NA,"000","2023-08-01",NA,NA,NA,"001354","H","0000001199","840003135299630","0014","09/13/23","08/29/23","000069",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085670","6502af98120a46269f2be432","Do Not Breed",1362,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"840003149478363","840003149478363",NA,"840003132417775","2023-09-14","1362",NA,"2023-03-06",0,NA,NA,"2023-06-27","2023-06-28",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",71,284,283,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",22,"0000-00-00",2,"0000-00-00","829XB69",108,72,0,"0000-00-00","0000-00-00","DNB","629H19973","629H20538",NA,NA,NA,"0001","0000-00-00",3,"2023-08-29",NA,"000","2023-08-29",NA,NA,NA,"001362","H","0000001053","840003125316756","0011","09/13/23","08/29/23","000072",NA,"-","00000","00000"
